#,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,Commission,PnL,PnL%,Hold Hours
75,2025-10-14 21:00,2025-10-15 06:00,LONG,3365.147065421458,2.288000,2.222000,15.3989,-222.10,-2.88%,9.0
76,2025-10-15 07:00,2025-10-18 16:00,SHORT,3391.037408119279,2.205000,2.142000,14.9545,213.64,2.86%,81.0
77,2025-10-18 17:00,2025-10-21 03:00,LONG,3577.1481064359546,2.144000,2.211000,15.3388,239.67,3.12%,58.0
78,2025-10-21 04:00,2025-10-24 00:00,SHORT,3550.581739265757,2.220000,2.152000,15.7646,241.44,3.06%,68.0
79,2025-10-24 01:00,2025-10-29 14:00,LONG,3767.754913552991,2.149000,2.232000,16.1938,312.72,3.86%,133.0
80,2025-10-29 15:00,2025-10-31 09:00,SHORT,3782.7170547947667,2.213000,2.234000,16.7423,-79.44,-0.95%,42.0
81,2025-10-31 10:00,2025-11-02 14:00,LONG,3644.2818585938385,2.270000,2.292000,16.5450,80.17,0.97%,52.0
82,2025-11-02 15:00,2025-11-05 21:00,SHORT,3610.3127343604006,2.310000,1.928000,16.6796,1379.14,16.54%,78.0
83,2025-11-05 22:00,2025-11-06 06:00,LONG,4996.839115845955,1.929000,1.927000,19.2778,-9.99,-0.10%,8.0
84,2025-11-06 07:00,2025-11-06 15:00,SHORT,5006.1859679813515,1.917000,1.957000,19.1937,-200.25,-2.09%,8.0
85,2025-11-06 16:00,2025-11-11 05:00,LONG,4729.555713242312,1.984000,2.075000,18.7669,430.39,4.59%,109.0
86,2025-11-11 06:00,2025-11-18 12:00,SHORT,4663.039742149504,2.098000,1.814000,19.5661,1324.30,13.54%,174.0
87,2025-11-18 13:00,2025-11-18 22:00,LONG,6152.64674634092,1.791000,1.768000,22.0388,-141.51,-1.28%,9.0
88,2025-11-18 23:00,2025-11-22 23:00,SHORT,6120.497434927228,1.776000,1.511000,21.7400,1621.93,14.92%,96.0
89,2025-11-23 00:00,2025-11-23 06:00,LONG,8202.586897564746,1.510000,1.504000,24.7718,-49.22,-0.40%,6.0
90,2025-11-23 07:00,2025-11-24 12:00,SHORT,8139.88725580155,1.513000,1.575000,24.6313,-504.67,-4.10%,29.0
91,2025-11-24 13:00,2025-11-28 17:00,LONG,7538.0624044746455,1.566000,1.585000,23.6092,143.22,1.21%,100.0
92,2025-11-28 18:00,2025-12-02 11:00,SHORT,7538.332029666912,1.581000,1.586000,23.8362,-37.69,-0.32%,89.0
93,2025-12-02 12:00,2025-12-04 16:00,LONG,7505.6501200744515,1.582000,1.594000,23.7479,90.07,0.76%,52.0
94,2025-12-04 17:00,2025-12-06 15:00,SHORT,7474.541385753984,1.597000,1.598000,23.8737,-7.47,-0.06%,46.0
95,2025-12-06 16:00,2025-12-09 02:00,LONG,7427.981707418302,1.603000,1.615000,23.8141,89.14,0.75%,58.0
96,2025-12-09 03:00,2025-12-09 08:00,SHORT,7401.785676627334,1.618000,1.686000,23.9522,-503.32,-4.20%,5.0
97,2025-12-09 09:00,2025-12-11 00:00,LONG,6846.480396892065,1.676000,1.594000,22.9494,-561.41,-4.89%,39.0
98,2025-12-11 01:00,2025-12-12 00:00,SHORT,6842.1627386718465,1.596000,1.628000,21.8402,-218.95,-2.01%,23.0
99,2025-12-12 01:00,2025-12-12 08:00,LONG,6550.931867352597,1.632000,1.590000,21.3822,-275.14,-2.57%,7.0
100,2025-12-12 09:00,2025-12-16 15:00,SHORT,6526.449453704886,1.595000,1.549000,20.8194,300.22,2.88%,102.0
101,2025-12-16 16:00,2025-12-17 09:00,LONG,6882.913939753624,1.551000,1.484000,21.3508,-461.16,-4.32%,17.0
102,2025-12-17 10:00,2025-12-19 16:00,SHORT,6955.094636836927,1.470000,1.483000,20.4480,-90.42,-0.88%,54.0
103,2025-12-19 17:00,2025-12-21 10:00,LONG,6818.589531625755,1.483000,1.468000,20.2239,-102.28,-1.01%,41.0
